EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
0,1,True,5,5,.,$MFT,,385056768,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,64323867495,256,,,
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,33558317,256,,,
2,2,True,5,5,.,$LogFile,,67108864,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,33558387,256,,,
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,64357402668,257,e069c3d8-b531-46bf-b20e-df0d6254aef8,,
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,33559448,0,,,
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2018-02-04 13:12:06.0937500,2016-06-04 04:43:38.1875000,2018-02-04 13:12:06.0937500,2016-06-04 04:43:38.1875000,2018-02-05 18:43:39.9218750,2016-06-04 05:46:15.7968750,0,88119229379,0,33131975-8d14-11df-9df9-005056c00008,$TXF_DATA,
6,6,True,5,5,.,$Bitmap,,1900024,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,38453486003,256,,,
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,0,0,,,
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,33558606,256,,,
8,8,True,5,5,.,$BadClus:$Bad,,42944151552,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,33558606,256,,,
9,9,True,5,5,.,$Secure,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,87677945131,257,,,
10,10,True,5,5,.,$UpCase,,131072,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,64326272986,256,,,
10,10,True,5,5,.,$UpCase:$Info,,32,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,64326272986,256,,,
11,11,True,5,5,.,$Extend,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,2010-04-24 04:49:13.1718750,,0,54514630337,257,,,
